token	frequency	label	llm_reason	example_sentence_used
sab	338	HINGLISH	The word 'sab' is a Hindi word meaning 'all', commonly used in Romanized Hindi/Hinglish code-mixed text.	slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context: …
rahe	330	HINGLISH	The token 'rahe' is used as part of the Hindi continuous tense marker ('rahe hain' / 'rahe the') in all provided Romanized Hindi/English code-mixed examples.	slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context: …
hain	318	HINGLISH	The token 'hain' is a form of the Hindi auxiliary verb 'hai/hain' meaning 'are', commonly used in Romanized Hindi/Hinglish code-mixed text.	Annu__k text karo phr dekhtay hain
gaya	301	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	loveOKplease kuch nahi, ek tweet padh ke gussa aa gaya :/
jo	294	HINGLISH	The token 'jo' is a common relative pronoun in Hindi/Hinglish (meaning 'who' or 'which'), functioning similarly across all provided examples.	Matlab tum Karishma nahin Raveena ho? Aur woh jo Karishma thi, woh ab kahan ravana hai? …
for	290	ENGLISH	The token 'for' is a standard English preposition used identically in all provided English contexts.	amazing day today . i can't wait for tomorrow
hota	266	HINGLISH	The token 'hota' is a form of the Hindi verb 'hona' (to be) used across all given examples.	"Aisa na hua hota agar aapne Modi ko PM na banaya hota" - Shri Kejriwal …
kiya	258	HINGLISH	The token 'kiya' is a form of the Hindi verb 'karna' (to do), commonly used in Romanized Hindi/Hinglish code-mixed text.	SrBachchan sir aap badal gaye ho. Aajkal milte hi nahi ho. Kitna wait kiya aapka ghar ke bahar
you	245	ENGLISH	The token 'you' is a standard English pronoun used with the same meaning across all provided example sentences.	someUSER congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how
someuser	238	HINGLISH	no_context_default	
gst	235	ENGLISH	The term 'gst' refers to Goods and Services Tax, an English/international tax term used within the code-mixed sentences.	narendramodi kuch pata hai students ke mehenge din agaye hai?? gst laga diya hai bas kuch socha tha pehle?
modi	234	PENDING_MANUAL_REVIEW	The token 'modi' is a proper noun (referring to a person) used identically in both English and Hindi/Hinglish contexts without linguistic adaptation.	Koun kahta hai modi ji kam nahi kar rahe 4 mahine mein hi Trump ka replica bana diya .... YogiAdityanath
abhi	231	HINGLISH	The word 'abhi' is a common Hindi word meaning 'now' or 'just', used consistently in Romanized Hindi/English code-mixed sentences.	mamtan14 didi abhi apni me time hai
diya	228	HINGLISH	The token 'diya' is a Hindi verb meaning 'gave' across all the provided code-mixed sentences.	LOL, phenk deta to bechare ka phir kat jaata bill, isiliye lauta diya chup chaap. EkBhaiKeLiye
ya	219	HINGLISH	The token 'ya' functions as the Hindi conjunction 'or' in all the provided examples.	yaar confess karte ho ya torture . . . itna bada bada confession
yaar	210	HINGLISH	The word 'yaar' is a common Hindi colloquialism meaning 'friend' used frequently in Romanized Hindi/English code-mixed text.	Vyomnaut sahi me yaar
bahut	209	HINGLISH	The word 'bahut' is a Hindi word meaning 'very' transliterated into the Roman script.	Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.
kabhi	207	HINGLISH	The word 'kabhi' is a standard Hindi term meaning 'ever' or 'sometimes' used in Romanized form.	bas kabhi ghamand nahi kiya.
gaye	206	HINGLISH	The token 'gaye' is a form of the Hindi verb 'jana' (to go) used across all given examples in a Romanized Hindi context.	MissKhushiSen mujhe laga sab bhool gaye honge SENTI
with	202	ENGLISH	The token 'with' is a standard English preposition used across all provided examples.	i love my girl evelyn at work she switched shifts with me saturday:)
guddu	200	HINGLISH	The token 'guddu' is used as a proper given name in all example sentences, which is common in South Asian (Hindi) contexts.	guddu k papa toh emotional ho gye . . . .
kyu	192	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?
woh	192	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Matlab tum Karishma nahin Raveena ho? Aur woh jo Karishma thi, woh ab kahan ravana hai? …
rahi	186	HINGLISH	The token 'rahi' is a Hindi auxiliary verb used in continuous tense forms across all given examples.	Phone ka wallpaper dekhte dekhte zindagi kat rahi hai.
tak	186	HINGLISH	The word 'tak' in these contexts functions as the Hindi postposition meaning 'until' or 'up to'.	cha cha ? ab seedha Trump nazar aane laga ? Kasab se Trump tak ?
kaam	183	HINGLISH	The token 'kaam' means work in Hindi and is consistently used with that meaning across the examples.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
ghar	182	HINGLISH	The word 'ghar' means 'home' or 'house' in Hindi, used consistently across all code-mixed examples.	SrBachchan sir aap badal gaye ho. Aajkal milte hi nahi ho. Kitna wait kiya aapka ghar ke bahar
yeh	182	HINGLISH	The token 'yeh' is the Romanized Hindi word for 'this' or 'these'.	Yaar, koi ye bata do ke yeh ladki hai kaun? …
wo	182	HINGLISH	The token 'wo' is a Romanized Hindi pronoun meaning 'that' or 'he/she'.	Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.
this	174	ENGLISH	The token 'this' is a standard English pronoun used consistently across the examples.	bay area heads !i'll be on the piano at yoshi's san fran this sunday playing with the one n only dwight trible - http/URL
karne	172	HINGLISH	The token 'karne' is the inflected form of the Hindi verb 'karna' (to do), commonly used in code-mixed Hinglish sentences.	ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji
hu	172	HINGLISH	The token 'hu' is a commonly used Romanized Hindi verb meaning 'am' (e.g., 'confused hu', 'fan hu').	sagarcasm abhi bhi hu
desh	167	HINGLISH	The word 'desh' means 'country' in Hindi and is commonly used in Romanized Hindi/Hinglish text.	dwivedi_ji12 inn logo se ruka hua hai desh ka uddhar FarziPatrakarRavishKumar
aise	167	HINGLISH	"aise" is a Hindi word meaning "like this" or "in this way", consistently used in the Romanized Hindi/English code-mixed examples.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
my	165	ENGLISH	The token 'my' is a standard English possessive determiner functioning identically across all provided examples.	i love my girl evelyn at work she switched shifts with me saturday:)
pehle	165	HINGLISH	The token 'pehle' is a Hindi word meaning 'before' or 'earlier', written in Romanized form.	unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe . . . ?
apne	164	HINGLISH	The word 'apne' is a standard Romanized Hindi possessive pronoun meaning 'your' or 'his/her own', as used across all provided examples.	Did Arun Lal say, "Ye dekhiye Bangladeshi player khushi se apne andkosh takra rahe hain"
kal	164	PENDING_MANUAL_REVIEW	In sentence 1 it is part of the Hindi phrase 'aaj kal' (these days), in sentence 2 it is the English word 'tomorrow' or 'for tomorrow', and in sentence 3 it is the Hindi word for 'yesterday'.	Aaj kal yeh hi bikta hai bhai!
dekh	163	HINGLISH	The token 'dekh' is a Romanized Hindi verb meaning 'to see', used consistently across the examples in a Hindi/Hinglish context.	RT ruchikokcha : Atheist_Krishna Isiliye ( sadly ) I am perhaps the only woman jisey Kohli ko khelta dekh bhai wali feeling aati hai .
baar	162	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	tu teen baar talak bol dena isaifpatel
baad	161	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe . . . ?
meri	161	HINGLISH	The word 'meri' is a possessive pronoun in Hindi ('my' or 'mine') used consistently across all provided code-mixed Romanized Hindi/English examples.	Tu hai meri kiran' ~Me, to sunshine
pata	160	HINGLISH	The token 'pata' is a Hindi word meaning 'to know' or 'address/trace', consistently used in the Romanized Hindi/Hinglish context across all examples.	narendramodi kuch pata hai students ke mehenge din agaye hai?? gst laga diya hai bas kuch socha tha pehle?
saath	158	HINGLISH	The word 'saath' is a Hindi word meaning 'with', used consistently across all code-mixed examples.	luncher paaji pehle chai k saath biscuit kha rahe the . .
sirf	155	HINGLISH	The word 'sirf' is a Hindi word meaning 'only', written in Roman script (Hinglish).	Hiii sir , aapse milne kaa sirf ek maaukaa chaahtaa hu. ....
dil	154	HINGLISH	The word 'dil' means 'heart' in Hindi and is consistently used as a Romanized Hindi word across all provided examples.	Keerthi ! lets open a NGO together ! toote dil ke marezon ke liyea
hoga	154	HINGLISH	The token 'hoga' is the future tense form of the verb 'to be' in Hindi (meaning 'will happen' or 'will be').	Ojasism bhai aajkal sab ke paas 4-4 car hai.. Ab to kisi series me Helicopter gift hoga tab maza aayega
nhi	154	HINGLISH	The token 'nhi' is a Romanized Hindi word meaning 'not'.	kahi rajnikant to nhi tha . .
karte	153	HINGLISH	The word 'karte' is the Hindi verb form meaning 'do' or 'are doing', used here in Romanized Hindi/Hinglish code-mixed sentences.	yaar confess karte ho ya torture . . . itna bada bada confession
salman	152	HINGLISH	The token 'salman' refers to the Bollywood actor Salman Khan, frequently used in Romanized Hindi/Hinglish social media context.	thanx salman bhai..love u forever
karo	150	HINGLISH	The token 'karo' is a standard Hindi verb form meaning 'do' written in Roman script (Hinglish).	Annu__k text karo phr dekhtay hain
accha	148	HINGLISH	The token 'accha' is a Romanized Hindi word meaning 'good' or 'well', commonly used in code-mixed Hinglish text.	AksharPathak jokeya .... accha kiya
alllahdin	148	HINGLISH	The token 'alllahdin' is used as a personal name or screen name of a content creator/user in the context of Romanized Hindi code-mixed text.	rowdytalks alllahdin great, maine apne gharwalon ko bhi bol rakha tha. Thanks for sharing, main dekh nahi paya :)
naam	146	HINGLISH	The word 'naam' means 'name' in Hindi and is written in Romanized form, commonly used in Hinglish code-mixed text.	DrDhimantPurohi ha ha ha, santa inka naam bhi note kar lein :)
chahiye	142	HINGLISH	The token 'chahiye' is a common Romanized Hindi word meaning 'want' or 'should'.	sayshardik pintubaba_ Ye baatli chahiye mujhe :(
kaha	142	HINGLISH	The token 'kaha' means 'where' or 'said' in Romanized Hindi (Hinglish) across all provided examples.	DramebaazKudi cake kaha hai ??
meetuunnglee	139	HINGLISH	no_context_default	
phir	139	HINGLISH	The token 'phir' is a Hindi word meaning 'then' or 'again', commonly used in Romanized Hindi/Hinglish.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
aisa	137	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	BolshoyBooze :-O White_Crimes aisa kiya tumne? Bhagwan se daro. Waise insta pe tumhare pics bahot zyada achhe hai :P
har	136	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	iamGunjanGrunge Tharak saale har ladki ko mention karna hai tujhe brawling_virago Atheist_Krishna
mera	134	HINGLISH	The token 'mera' is a Hindi possessive pronoun (meaning 'my') commonly used in Romanized Hindi/Hinglish code-mixed text.	BeingMSD mera motive kuch aur tha
yaad	133	HINGLISH	The word 'yaad' is a Hindi word meaning 'memory' or 'remembrance', commonly used in Romanized Hindi/Hinglish.	nickhunterr hahaa.. Matlab ab date yaad dilaoge twinitisha
hoti	131	HINGLISH	The word 'hoti' is a form of the Hindi auxiliary verb 'hona' (to be) used in Romanized Hindi contexts.	whycarewho kone wale plot me jagah zyada hoti hai :)
sahi	128	HINGLISH	The word 'sahi' is a Romanized Hindi word meaning 'right' or 'correct', commonly used in Hinglish context.	Vyomnaut sahi me yaar
karna	125	HINGLISH	The token 'karna' is the Hindi verb meaning 'to do', used consistently in the Romanized Hindi/English code-mixed examples.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
mahashivratri	124	HINGLISH	The token 'mahashivratri' refers to a Hindu festival and is written in Romanized form, commonly used in code-mixed Hinglish contexts.	RT armaankohli : Om namoh shiva , Babaji sab Ke sath mere sath thoda zayada :-) wishing all BAM BHOLE NATH :-) mahashivratri ke badhaiya : -
that	124	ENGLISH	The word 'that' is a standard English conjunction/pronoun and is not used as a Hindi or Romanized Hindi word in any of the examples.	Bhai kuch kal ke liye bhi chhod de.. RT EconomicTimes KejriwalTakesOath: I hope that India wins the World Cup
kisi	121	HINGLISH	The word 'kisi' is a standard Hindi pronoun (meaning 'anyone' or 'someone') written in the Roman script.	ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji
tujhe	121	HINGLISH	The word 'tujhe' is a Hindi pronoun meaning 'to you' written in Roman script.	iamGunjanGrunge Tharak saale har ladki ko mention karna hai tujhe brawling_virago Atheist_Krishna
pyar	119	HINGLISH	The token 'pyar' is the Romanized Hindi word for love, used consistently across all provided code-mixed sentences.	.Arpita_joshi13 e29ad41b95b341d sirf tumhare liye, chhodo ye sab hate. Aao pyar ki baatein karein DM par. Ok?
bol	118	HINGLISH	The token 'bol' is a Hindi verb meaning 'to speak', used consistently in the provided Romanized Hindi/English context.	tu teen baar talak bol dena isaifpatel
haan	116	HINGLISH	The token 'haan' is a common Romanized Hindi word meaning 'yes'.	.sagarikaghose haan khush ho jaa Pakistani IndianExpress
aaya	115	HINGLISH	The token 'aaya' is a form of the Hindi verb 'aana' (to come) commonly used in Romanized Hindi/Hinglish code-mixing.	Bihar_ke_lala khusi hui tumhara janamdin aaya
kaise	115	HINGLISH	The word 'kaise' is a standard Hindi word meaning 'how' used consistently across all code-mixed examples.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
bahot	114	HINGLISH	The token 'bahot' is a Romanized Hindi word meaning 'very' or 'a lot' in all the provided examples.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
tere	114	HINGLISH	The word 'tere' is a standard Romanized Hindi possessive pronoun meaning 'your'.	Salmannnnn aaa intezaar idhar ? tere liye ?
zyada	114	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	whycarewho kone wale plot me jagah zyada hoti hai :)
kam	112	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Kahaanify hamari kashti wahan doobi jahan paani kam tha
laga	112	HINGLISH	The token 'laga' is a Hindi verb (meaning 'started' or 'felt') commonly used in Romanized Hindi/Hinglish code-mixing.	cha cha ? ab seedha Trump nazar aane laga ? Kasab se Trump tak ?
lagta	111	HINGLISH	The token 'lagta' is a Hindi verb meaning 'feels' or 'seems', widely used in Romanized Hindi/Hinglish.	Sharanyashettyy Bura lagta hai jab Mecca Madina/Vatican se compare hota hai.. Kab tak tent house me rahenge Ram Lalla ?? AAKHIR KABTAK ??
wala	110	HINGLISH	The token 'wala' is a Hindi suffix used to indicate association, possession, or specification (e.g., 'ye wala', 'jio wala', 'karne wala').	Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.
liya	109	HINGLISH	The token 'liya' is a standard Hindi verb form (past tense of lena, meaning 'took') written in Romanized script.	bahut badiya , bahut hi undaa , kya baat , kya baat . dil jit liya tune toh . . . :d
dhoni	108	HINGLISH	The token 'dhoni' refers to the proper noun MS Dhoni, which is typically used within the context of Romanized Hindi/Hinglish social media discourse in these examples.	jab tak dhoni hai atleast main to chipka rahunga ..:)
lo	107	HINGLISH	The token 'lo' is used as a Hindi imperative verb meaning 'take' or 'do' (e.g., 'bula lo', 'kar lo', 'chaan lo') across all provided Hinglish context examples.	Uber chahiye? 2 minute main a jayegi. Haan chahiye Khud bula lo app khol ke lol
iss	106	HINGLISH	The token 'iss' is a Romanized Hindi word meaning 'this' in these contexts.	ji bilkul, iss baat ka toh inkaar nahi kar sakte.
chal	105	HINGLISH	The word 'chal' is a common Hindi verb meaning 'going' or an imperative 'let's go', used here in Romanized Hindi/Hinglish contexts.	Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??
kab	105	HINGLISH	The word 'kab' is a common Hindi interrogative word meaning 'when' used in Romanized Hindi/Hinglish.	MohitParmarr ye kaun se channel par aur kab aata hai? Batao, zara hum bhi toh dekhe!
mai	105	HINGLISH	The token 'mai' in all these examples is used as the Romanized Hindi word for 'in' (me/mai) or 'I' (main), which is a common Hinglish spelling.	mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d
kahan	104	HINGLISH	The token 'kahan' is a Hindi word meaning 'where' (or a variant of 'kahaa' meaning 'said' in example 3), consistently representing Romanized Hindi across all contexts.	Matlab tum Karishma nahin Raveena ho? Aur woh jo Karishma thi, woh ab kahan ravana hai? …
kejriwal	104	HINGLISH	The token 'kejriwal' refers to a proper noun (an Indian politician) commonly used within Romanized Hindi/English code-mixed social media contexts.	isiliye ab kejriwal ke samarthan me aa gaye .
lol	104	ENGLISH	The token 'lol' is an English internet slang abbreviation (laugh out loud) used universally across languages in text-based communication.	kahin tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? lol
itna	102	HINGLISH	The word 'itna' means 'so much' in Hindi and is commonly used in Romanized Hindi/English code-mixed text.	yaar confess karte ho ya torture . . . itna bada bada confession
khud	102	HINGLISH	The word 'khud' is a Hindi pronoun meaning 'self', commonly used in Romanized Hindi/Hinglish.	.HarshJ12 apna kaam khud karo.
tumhare	102	HINGLISH	The token 'tumhare' is a standard Romanized Hindi possessive pronoun meaning 'your' across all given examples.	RG : Mom mujhe budget budget khelna hai Mom : Beta , tumhare women empowerment khelneke din hai RG : yaay ! ringa ringa roses RahulOnLeave
hote	100	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Abe Congressiyon, Nigerians bhi insaan hote hain, bandar nahin. Kyon itna bura maan gaye.
apni	99	HINGLISH	The token 'apni' is a Hindi pronoun meaning 'own' or 'one's own', used consistently across the examples in Romanized Hindi.	mamtan14 didi abhi apni me time hai
narendramodi	99	ENGLISH	The token 'narendramodi' is a proper noun (referring to a specific person), which remains unchanged across languages.	narendramodi kuch pata hai students ke mehenge din agaye hai?? gst laga diya hai bas kuch socha tha pehle?
indvspak	98	ENGLISH	The token 'indvspak' stands for India vs Pakistan, which is a combination of English/standard abbreviations used uniformly in sports contexts across languages.	Dear Pakistani fans ... Asia cup k bad agar tv set na fodeho .... to aaj accha mauka haisuru ho jao indvspak
from	97	ENGLISH	The word 'from' is a standard English preposition used identically across all provided contexts.	vinaylohia82 SonyTV Aaj Hoga Karn Ka Aagaman SuryaPutraKarn Adbudh Show from SonyTV KarnRisesTonight
shaadi	97	HINGLISH	The token 'shaadi' is the Romanized Hindi word for 'marriage' or 'wedding'.	Mujhe paid tweet karne hai, shaadi ke paise ikatthe karne hai.
gayi	95	HINGLISH	The token 'gayi' is a Hindi auxiliary verb (past feminine form of 'jana') commonly used in Romanized Hindi/Hinglish code-mixed text.	Miss u msd " aadat ho gayi hai aapko captain dekhte hue .. Dhoni
karta	91	HINGLISH	The token 'karta' is a form of the Hindi verb 'karna' (to do), used consistently across all examples in a Romanized Hindi/Hinglish context.	Bhai koi iske tweet copy karo.. Ye khud ke tweet copy kiye jaa raha hai.. Koi RT bhi nahi karta
raat	89	HINGLISH	The word 'raat' is the Romanized Hindi word for 'night', consistently used across the given examples.	Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??
theek	88	HINGLISH	The token 'theek' is a common Romanized Hindi word meaning 'fine' or 'correct'.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
wali	87	HINGLISH	The token 'wali' (or 'wale') is a Hindi suffix used to indicate association or action (e.g., 'dene wali', 'hasne wali').	RT ruchikokcha : Atheist_Krishna Isiliye ( sadly ) I am perhaps the only woman jisey Kohli ko khelta dekh bhai wali feeling aati hai .
yahan	87	HINGLISH	The token 'yahan' is the Romanized Hindi word for 'here'.	GavriE01 hum yahan mazak karne aaye hain kya
rahul	86	HINGLISH	The token is a proper noun (a person's name, 'Rahul Gandhi') commonly used in Hindi-English code-mixed social media text.	ye banda rahul gandhi ki haar ke sadme se ubar nahi pa raha hai :) …
sakta	86	HINGLISH	The token 'sakta' is a form of the Hindi auxiliary verb 'sakna' (can) used in code-mixed Hinglish contexts.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
we	86	ENGLISH	The token 'we' is a standard English pronoun used in all provided examples.	Hi Congress, today do we have Rajiv Gandhi Janma Diwas Sabko Daru Free Party Yojana?
jai	84	HINGLISH	The word 'jai' is a widely used Hindi/Sanskrit word for victory or glory, commonly used in devotional and patriotic phrases in Romanized text.	jaikesarinandan jai shri Ram
di	83	HINGLISH	The token 'di' in these contexts functions as part of Hindi/Hinglish verb forms ('kar di', 'karr di', 'pittal di') or as a Hindi word.	Modi ne Notebandi toh kar di " par hamaare jaise foreveralone engineers ke liye bandi kab dhund dega 0 Kya yahi hai acche din?
saal	83	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sonia Gandhi ko pata nahi tha ki 90% dimag ka vikas 5 saal tak ho jaata hai.
dekho	82	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	kaun bole parents ko nahi hai interest unke bete mein :d :d toh bekar mein kyun dekho usse
jaa	81	HINGLISH	The token 'jaa' is the Romanized Hindi verb meaning 'go', used consistently in Hinglish contexts across the examples.	.sagarikaghose haan khush ho jaa Pakistani IndianExpress
kaun	81	HINGLISH	The token 'kaun' is a Hindi interrogative pronoun meaning 'who' or 'which', consistently used in all provided code-mixed sentences.	kaun hai ye zaleel insaan?
waise	81	HINGLISH	The token 'waise' is a Romanized Hindi word meaning 'anyway' or 'in that case', consistently used in Hinglish contexts across all examples.	kamaalrkhan sir ye tweet unko bhej do. Itni Hi-Fi English padh ke wo waise hi suicide kar lega.
ladki	80	HINGLISH	The word 'ladki' is a Romanized Hindi word meaning 'girl'.	iamGunjanGrunge Tharak saale har ladki ko mention karna hai tujhe brawling_virago Atheist_Krishna
sath	80	HINGLISH	The token 'sath' is a Romanized Hindi word meaning 'with'.	RoflGandhi_ infinite_aMy Guru ji ko pehchanne se inkar karne wale logon ko Pakistani visa ke sath passport muft diya jaaye. Pranam.
achha	77	HINGLISH	The token 'achha' is a standard Romanized Hindi word meaning 'good', used consistently across all examples.	iska koi connect nahi tha iske saath, magar achha line hai. Main confused hu ke woh bhai desi hai ya videsi.
samajh	77	HINGLISH	The word 'samajh' is a Hindi word meaning 'understanding' written in Roman script (Hinglish).	Chota bachcha samajh ke humko na aankh dikhaana re.. - Arya Stark AndColorPockeT
thoda	76	HINGLISH	The word 'thoda' is a Romanized Hindi word meaning 'little' or 'a bit', commonly used in code-mixed Hinglish text.	zoomphatak iss baar thoda zyada easy ho gaya
bada	75	HINGLISH	The token 'bada' means 'big' or 'major' in Hindi (Romanized) across all the provided examples.	yaar confess karte ho ya torture . . . itna bada bada confession
arvindkejriwal	74	HINGLISH	Proper noun referring to an Indian politician, commonly used in Romanized Hindi social media discourse.	Sir arvindkejriwal jitni fikar Gujarat ki karte ho uska 10% bhi dilli ki karo to aap ka ad pe kharcha nahi karna padega.
itni	74	HINGLISH	The word 'itni' is a Romanized Hindi word meaning 'so much' or 'this much'.	kisi ne bhi sweter kyu nahi pahna h itni sardi me ? ? :o
paas	74	HINGLISH	The word 'paas' in all provided contexts means 'near' or 'have' in Hindi (written in Latin script).	Ojasism bhai aajkal sab ke paas 4-4 car hai.. Ab to kisi series me Helicopter gift hoga tab maza aayega
aata	73	HINGLISH	The token 'aata' is a form of the Hindi verb 'aana' (to come/know how to), used consistently for Romanized Hindi across all contexts.	MohitParmarr ye kaun se channel par aur kab aata hai? Batao, zara hum bhi toh dekhe!
bana	73	HINGLISH	The word 'bana' is a form of the Hindi verb 'banana' (to make/create) used across all given code-mixed examples.	Dishasatra LOL PJ_CRACKER ROFLaaLa Lala mujhe bhi apni behen bana le please
matlab	73	HINGLISH	The token 'matlab' is a Hindi word meaning 'meaning' or 'you mean', heavily integrated into Romanized Hindi/English code-mixed text.	Trump banne ki koshish.. matlab ab yugpurush ji US Prez ka chunaav ladenge ?? God save America angryoungwoman
bjp	72	HINGLISH	The token 'bjp' is a proper noun (political party name) widely used within Romanized Hindi/English code-mixed social media text.	agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?
ja	72	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	KajuBadamChor tu ja naha kar aa TheVacuumHead ShraddhaKapoor
jeet	72	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Sachai ki jeet hogayi *aankho mein aansoo*
