token	label	method
"	NON_LINGUISTIC	regex_prefilter
and	UNCERTAIN_NEEDS_LLM	unresolved
hai,	NON_LINGUISTIC	regex_prefilter
a	ENGLISH	wordnet_exact
ji	ENGLISH	wordnet_exact
..	NON_LINGUISTIC	regex_prefilter
main	AMBIGUOUS	override_ambiguous
tu	HINGLISH	override_hinglish
pe	ENGLISH	wordnet_exact
mujhe	UNCERTAIN_NEEDS_LLM	unresolved
:)	NON_LINGUISTIC	regex_prefilter
of	UNCERTAIN_NEEDS_LLM	unresolved
k	ENGLISH	wordnet_exact
...	NON_LINGUISTIC	regex_prefilter
baat	UNCERTAIN_NEEDS_LLM	unresolved
sab	UNCERTAIN_NEEDS_LLM	unresolved
sir	ENGLISH	wordnet_exact
rahe	UNCERTAIN_NEEDS_LLM	unresolved
hain	UNCERTAIN_NEEDS_LLM	unresolved
aa	ENGLISH	wordnet_exact
on	ENGLISH	wordnet_exact
gaya	UNCERTAIN_NEEDS_LLM	unresolved
:p	NON_LINGUISTIC	regex_prefilter
jo	UNCERTAIN_NEEDS_LLM	unresolved
for	UNCERTAIN_NEEDS_LLM	unresolved
do	ENGLISH	wordnet_exact
hum	ENGLISH	wordnet_exact
hota	UNCERTAIN_NEEDS_LLM	unresolved
kiya	UNCERTAIN_NEEDS_LLM	unresolved
tum	ENGLISH	wordnet_exact
h	ENGLISH	wordnet_exact
you	UNCERTAIN_NEEDS_LLM	unresolved
someuser	UNCERTAIN_NEEDS_LLM	unresolved
:d	NON_LINGUISTIC	regex_prefilter
gst	UNCERTAIN_NEEDS_LLM	unresolved
modi	UNCERTAIN_NEEDS_LLM	unresolved
mere	ENGLISH	wordnet_exact
abhi	UNCERTAIN_NEEDS_LLM	unresolved
din	ENGLISH	wordnet_exact
log	ENGLISH	wordnet_exact
bas	ENGLISH	wordnet_exact
de	ENGLISH	wordnet_exact
diya	UNCERTAIN_NEEDS_LLM	unresolved
hai?	NON_LINGUISTIC	regex_prefilter
-	NON_LINGUISTIC	regex_prefilter
le	ENGLISH	wordnet_exact
ya	UNCERTAIN_NEEDS_LLM	unresolved
hai..	NON_LINGUISTIC	regex_prefilter
yaar	UNCERTAIN_NEEDS_LLM	unresolved
bahut	UNCERTAIN_NEEDS_LLM	unresolved
kabhi	UNCERTAIN_NEEDS_LLM	unresolved
gaye	UNCERTAIN_NEEDS_LLM	unresolved
with	UNCERTAIN_NEEDS_LLM	unresolved
guddu	UNCERTAIN_NEEDS_LLM	unresolved
be	ENGLISH	wordnet_exact
he	ENGLISH	wordnet_exact
kyu	UNCERTAIN_NEEDS_LLM	unresolved
woh	UNCERTAIN_NEEDS_LLM	unresolved
at	ENGLISH	wordnet_exact
india	ENGLISH	wordnet_exact
it	ENGLISH	wordnet_exact
rahi	UNCERTAIN_NEEDS_LLM	unresolved
tak	UNCERTAIN_NEEDS_LLM	unresolved
kaam	UNCERTAIN_NEEDS_LLM	unresolved
ghar	UNCERTAIN_NEEDS_LLM	unresolved
wo	UNCERTAIN_NEEDS_LLM	unresolved
yeh	UNCERTAIN_NEEDS_LLM	unresolved
mat	ENGLISH	wordnet_exact
time	ENGLISH	wordnet_exact
this	UNCERTAIN_NEEDS_LLM	unresolved
hu	UNCERTAIN_NEEDS_LLM	unresolved
karne	UNCERTAIN_NEEDS_LLM	unresolved
0	NON_LINGUISTIC	regex_prefilter
aise	UNCERTAIN_NEEDS_LLM	unresolved
desh	UNCERTAIN_NEEDS_LLM	unresolved
hua	ENGLISH	wordnet_exact
wale	ENGLISH	wordnet_exact
my	UNCERTAIN_NEEDS_LLM	unresolved
pehle	UNCERTAIN_NEEDS_LLM	unresolved
apne	UNCERTAIN_NEEDS_LLM	unresolved
kal	UNCERTAIN_NEEDS_LLM	unresolved
dekh	UNCERTAIN_NEEDS_LLM	unresolved
baar	UNCERTAIN_NEEDS_LLM	unresolved
thi	HINGLISH	override_hinglish
baad	UNCERTAIN_NEEDS_LLM	unresolved
meri	UNCERTAIN_NEEDS_LLM	unresolved
pata	UNCERTAIN_NEEDS_LLM	unresolved
so	ENGLISH	wordnet_exact
saath	UNCERTAIN_NEEDS_LLM	unresolved
u	ENGLISH	wordnet_exact
sirf	UNCERTAIN_NEEDS_LLM	unresolved
dil	UNCERTAIN_NEEDS_LLM	unresolved
hoga	UNCERTAIN_NEEDS_LLM	unresolved
nhi	UNCERTAIN_NEEDS_LLM	unresolved
karte	UNCERTAIN_NEEDS_LLM	unresolved
salman	UNCERTAIN_NEEDS_LLM	unresolved
karo	UNCERTAIN_NEEDS_LLM	unresolved
are	ENGLISH	wordnet_exact
jab	HINGLISH	override_hinglish
accha	UNCERTAIN_NEEDS_LLM	unresolved
alllahdin	UNCERTAIN_NEEDS_LLM	unresolved
naam	UNCERTAIN_NEEDS_LLM	unresolved
2	NON_LINGUISTIC	regex_prefilter
but	ENGLISH	wordnet_exact
chahiye	UNCERTAIN_NEEDS_LLM	unresolved
kaha	UNCERTAIN_NEEDS_LLM	unresolved
:(	NON_LINGUISTIC	regex_prefilter
or	ENGLISH	wordnet_exact
meetuunnglee	UNCERTAIN_NEEDS_LLM	unresolved
phir	UNCERTAIN_NEEDS_LLM	unresolved
aisa	UNCERTAIN_NEEDS_LLM	unresolved
har	UNCERTAIN_NEEDS_LLM	unresolved
maine	AMBIGUOUS	override_ambiguous
mera	UNCERTAIN_NEEDS_LLM	unresolved
like	ENGLISH	wordnet_exact
yaad	UNCERTAIN_NEEDS_LLM	unresolved
hoti	UNCERTAIN_NEEDS_LLM	unresolved
sahi	UNCERTAIN_NEEDS_LLM	unresolved
lag	ENGLISH	wordnet_exact
ra_bies	NON_LINGUISTIC	regex_prefilter
http/url	NON_LINGUISTIC	regex_prefilter
was	ENGLISH	wordnet_exact
karna	UNCERTAIN_NEEDS_LLM	unresolved
mahashivratri	UNCERTAIN_NEEDS_LLM	unresolved
that	UNCERTAIN_NEEDS_LLM	unresolved
??	NON_LINGUISTIC	regex_prefilter
atheist_krishna	NON_LINGUISTIC	regex_prefilter
kisi	UNCERTAIN_NEEDS_LLM	unresolved
tujhe	UNCERTAIN_NEEDS_LLM	unresolved
match	ENGLISH	wordnet_exact
....	NON_LINGUISTIC	regex_prefilter
agar	ENGLISH	wordnet_exact
pyar	UNCERTAIN_NEEDS_LLM	unresolved
bol	UNCERTAIN_NEEDS_LLM	unresolved
tomorrow	ENGLISH	wordnet_exact
day	ENGLISH	wordnet_exact
haan	UNCERTAIN_NEEDS_LLM	unresolved
aaya	UNCERTAIN_NEEDS_LLM	unresolved
kaise	UNCERTAIN_NEEDS_LLM	unresolved
bahot	UNCERTAIN_NEEDS_LLM	unresolved
tere	UNCERTAIN_NEEDS_LLM	unresolved
zyada	UNCERTAIN_NEEDS_LLM	unresolved
kam	UNCERTAIN_NEEDS_LLM	unresolved
laga	UNCERTAIN_NEEDS_LLM	unresolved
lagta	UNCERTAIN_NEEDS_LLM	unresolved
paise	ENGLISH	wordnet_exact
wala	UNCERTAIN_NEEDS_LLM	unresolved
liya	UNCERTAIN_NEEDS_LLM	unresolved
dhoni	UNCERTAIN_NEEDS_LLM	unresolved
lo	UNCERTAIN_NEEDS_LLM	unresolved
pakistan	ENGLISH	wordnet_exact
will	ENGLISH	wordnet_exact
iss	UNCERTAIN_NEEDS_LLM	unresolved
&	NON_LINGUISTIC	regex_prefilter
chal	UNCERTAIN_NEEDS_LLM	unresolved
kab	UNCERTAIN_NEEDS_LLM	unresolved
mai	UNCERTAIN_NEEDS_LLM	unresolved
all	ENGLISH	wordnet_exact
kahan	UNCERTAIN_NEEDS_LLM	unresolved
kejriwal	UNCERTAIN_NEEDS_LLM	unresolved
lol	UNCERTAIN_NEEDS_LLM	unresolved
up	ENGLISH	wordnet_exact
not	ENGLISH	wordnet_exact
itna	UNCERTAIN_NEEDS_LLM	unresolved
khud	UNCERTAIN_NEEDS_LLM	unresolved
tumhare	UNCERTAIN_NEEDS_LLM	unresolved
good	ENGLISH	wordnet_exact
have	ENGLISH	wordnet_exact
hote	UNCERTAIN_NEEDS_LLM	unresolved
no	ENGLISH	wordnet_exact
tweet	ENGLISH	wordnet_exact
apni	UNCERTAIN_NEEDS_LLM	unresolved
delhi	ENGLISH	wordnet_exact
kya?	NON_LINGUISTIC	regex_prefilter
narendramodi	UNCERTAIN_NEEDS_LLM	unresolved
indvspak	UNCERTAIN_NEEDS_LLM	unresolved
from	UNCERTAIN_NEEDS_LLM	unresolved
mil	ENGLISH	wordnet_exact
shaadi	UNCERTAIN_NEEDS_LLM	unresolved
gayi	UNCERTAIN_NEEDS_LLM	unresolved
love	ENGLISH	wordnet_exact
!!	NON_LINGUISTIC	regex_prefilter
ban	ENGLISH	wordnet_exact
1	NON_LINGUISTIC	regex_prefilter
4	NON_LINGUISTIC	regex_prefilter
karta	UNCERTAIN_NEEDS_LLM	unresolved
out	ENGLISH	wordnet_exact
raat	UNCERTAIN_NEEDS_LLM	unresolved
best	ENGLISH	wordnet_exact
may	ENGLISH	wordnet_exact
one	ENGLISH	wordnet_exact
theek	UNCERTAIN_NEEDS_LLM	unresolved
use	ENGLISH	wordnet_exact
wali	UNCERTAIN_NEEDS_LLM	unresolved
yahan	UNCERTAIN_NEEDS_LLM	unresolved
happy	ENGLISH	wordnet_exact
party	ENGLISH	wordnet_exact
rahul	UNCERTAIN_NEEDS_LLM	unresolved
sakta	UNCERTAIN_NEEDS_LLM	unresolved
we	UNCERTAIN_NEEDS_LLM	unresolved
logo	ENGLISH	wordnet_exact
trump	ENGLISH	wordnet_exact
by	ENGLISH	wordnet_exact
jai	UNCERTAIN_NEEDS_LLM	unresolved
di	UNCERTAIN_NEEDS_LLM	unresolved
just	ENGLISH	wordnet_exact
saal	UNCERTAIN_NEEDS_LLM	unresolved
bhai,	NON_LINGUISTIC	regex_prefilter
dekho	UNCERTAIN_NEEDS_LLM	unresolved
team	ENGLISH	wordnet_exact
jaa	UNCERTAIN_NEEDS_LLM	unresolved
kaun	UNCERTAIN_NEEDS_LLM	unresolved
school	ENGLISH	wordnet_exact
twitter	ENGLISH	wordnet_exact
waise	UNCERTAIN_NEEDS_LLM	unresolved
gandhi	ENGLISH	wordnet_exact
ladki	UNCERTAIN_NEEDS_LLM	unresolved
sath	UNCERTAIN_NEEDS_LLM	unresolved
:'(	NON_LINGUISTIC	regex_prefilter
hue	HINGLISH	override_hinglish
phone	ENGLISH	wordnet_exact
achha	UNCERTAIN_NEEDS_LLM	unresolved
fir	ENGLISH	wordnet_exact
samajh	UNCERTAIN_NEEDS_LLM	unresolved
)	NON_LINGUISTIC	regex_prefilter
free	ENGLISH	wordnet_exact
movie	ENGLISH	wordnet_exact
thoda	UNCERTAIN_NEEDS_LLM	unresolved
bada	UNCERTAIN_NEEDS_LLM	unresolved
bola	ENGLISH	wordnet_exact
hain.	NON_LINGUISTIC	regex_prefilter
arvindkejriwal	UNCERTAIN_NEEDS_LLM	unresolved
itni	UNCERTAIN_NEEDS_LLM	unresolved
paas	UNCERTAIN_NEEDS_LLM	unresolved
us	ENGLISH	wordnet_exact
aata	UNCERTAIN_NEEDS_LLM	unresolved
bana	UNCERTAIN_NEEDS_LLM	unresolved
matlab	UNCERTAIN_NEEDS_LLM	unresolved
nahi.	NON_LINGUISTIC	regex_prefilter
â€¦	NON_LINGUISTIC	regex_prefilter
bjp	UNCERTAIN_NEEDS_LLM	unresolved
ja	UNCERTAIN_NEEDS_LLM	unresolved
jeet	UNCERTAIN_NEEDS_LLM	unresolved
khan	ENGLISH	wordnet_exact
tera	ENGLISH	wordnet_exact
aage	UNCERTAIN_NEEDS_LLM	unresolved
b	ENGLISH	wordnet_exact
jaise	UNCERTAIN_NEEDS_LLM	unresolved
kr	HINGLISH	override_hinglish
pyaar	UNCERTAIN_NEEDS_LLM	unresolved
as	ENGLISH	wordnet_exact
dete	UNCERTAIN_NEEDS_LLM	unresolved
game	ENGLISH	wordnet_exact
tumhe	UNCERTAIN_NEEDS_LLM	unresolved
aapke	UNCERTAIN_NEEDS_LLM	unresolved
hone	ENGLISH	wordnet_exact
teri	UNCERTAIN_NEEDS_LLM	unresolved
uske	UNCERTAIN_NEEDS_LLM	unresolved
yaha	UNCERTAIN_NEEDS_LLM	unresolved
bhai.	NON_LINGUISTIC	regex_prefilter
i'm	NON_LINGUISTIC	regex_prefilter
maa	UNCERTAIN_NEEDS_LLM	unresolved
new	ENGLISH	wordnet_exact
thanks	ENGLISH	wordnet_exact
apna	UNCERTAIN_NEEDS_LLM	unresolved
gayee	UNCERTAIN_NEEDS_LLM	unresolved
last	ENGLISH	wordnet_exact
bar	ENGLISH	wordnet_exact
go	ENGLISH	wordnet_exact
if	UNCERTAIN_NEEDS_LLM	unresolved
kha	UNCERTAIN_NEEDS_LLM	unresolved
n	ENGLISH	wordnet_exact
nai	UNCERTAIN_NEEDS_LLM	unresolved
tripletalaq	UNCERTAIN_NEEDS_LLM	unresolved
duniya	UNCERTAIN_NEEDS_LLM	unresolved
jnu	UNCERTAIN_NEEDS_LLM	unresolved
twinitisha	UNCERTAIN_NEEDS_LLM	unresolved
3	NON_LINGUISTIC	regex_prefilter
5	NON_LINGUISTIC	regex_prefilter
aaye	UNCERTAIN_NEEDS_LLM	unresolved
being_humor	NON_LINGUISTIC	regex_prefilter
dono	UNCERTAIN_NEEDS_LLM	unresolved
haath	UNCERTAIN_NEEDS_LLM	unresolved
vote	ENGLISH	wordnet_exact
world	ENGLISH	wordnet_exact
band	HINGLISH	override_hinglish
hamesha	UNCERTAIN_NEEDS_LLM	unresolved
it's	NON_LINGUISTIC	regex_prefilter
jata	UNCERTAIN_NEEDS_LLM	unresolved
surgicalstrike	ENGLISH	wordnet_fuzzy_edit2
hahaha	UNCERTAIN_NEEDS_LLM	unresolved
hogi	UNCERTAIN_NEEDS_LLM	unresolved
kyun	UNCERTAIN_NEEDS_LLM	unresolved
pm	ENGLISH	wordnet_exact
aati	UNCERTAIN_NEEDS_LLM	unresolved
gya	UNCERTAIN_NEEDS_LLM	unresolved
ha	ENGLISH	wordnet_exact
iamgunjangrunge	UNCERTAIN_NEEDS_LLM	unresolved
life	ENGLISH	wordnet_exact
ni	HINGLISH	override_hinglish
sunday	ENGLISH	wordnet_exact
what	UNCERTAIN_NEEDS_LLM	unresolved
beta	ENGLISH	wordnet_exact
can	ENGLISH	wordnet_exact
has	ENGLISH	wordnet_exact
hui	UNCERTAIN_NEEDS_LLM	unresolved
sakte	UNCERTAIN_NEEDS_LLM	unresolved
(	NON_LINGUISTIC	regex_prefilter
bihar	ENGLISH	wordnet_exact
chuka	UNCERTAIN_NEEDS_LLM	unresolved
indiantweeter	UNCERTAIN_NEEDS_LLM	unresolved
please	ENGLISH	wordnet_exact
kyaukhaadlega	UNCERTAIN_NEEDS_LLM	unresolved
lete	UNCERTAIN_NEEDS_LLM	unresolved
logon	UNCERTAIN_NEEDS_LLM	unresolved
m	ENGLISH	wordnet_exact
notebandi	UNCERTAIN_NEEDS_LLM	unresolved
now	ENGLISH	wordnet_exact
bharat	ENGLISH	wordnet_exact
chhod	UNCERTAIN_NEEDS_LLM	unresolved
congress	ENGLISH	wordnet_exact
haha	UNCERTAIN_NEEDS_LLM	unresolved
kare	UNCERTAIN_NEEDS_LLM	unresolved
see	ENGLISH	wordnet_exact
subah	UNCERTAIN_NEEDS_LLM	unresolved
tab	ENGLISH	wordnet_exact
tune	ENGLISH	wordnet_exact
yahi	ENGLISH	wordnet_exact
aate	UNCERTAIN_NEEDS_LLM	unresolved
akshaykanitkar	UNCERTAIN_NEEDS_LLM	unresolved
defucktivehumor	UNCERTAIN_NEEDS_LLM	unresolved
hamare	UNCERTAIN_NEEDS_LLM	unresolved
khatam	UNCERTAIN_NEEDS_LLM	unresolved
lokardi_rt	NON_LINGUISTIC	regex_prefilter
nahin	UNCERTAIN_NEEDS_LLM	unresolved
retardedwriter	UNCERTAIN_NEEDS_LLM	unresolved
tumne	UNCERTAIN_NEEDS_LLM	unresolved
tv	ENGLISH	wordnet_exact
aapne	UNCERTAIN_NEEDS_LLM	unresolved
bade	ENGLISH	wordnet_exact
bohot	UNCERTAIN_NEEDS_LLM	unresolved
chalo	UNCERTAIN_NEEDS_LLM	unresolved
indian	ENGLISH	wordnet_exact
indvssa	UNCERTAIN_NEEDS_LLM	unresolved
jaan	UNCERTAIN_NEEDS_LLM	unresolved
jao	UNCERTAIN_NEEDS_LLM	unresolved
papa	ENGLISH	wordnet_exact
railbudget2015	NON_LINGUISTIC	regex_prefilter
too	ENGLISH	wordnet_exact
bhar	UNCERTAIN_NEEDS_LLM	unresolved
dena	UNCERTAIN_NEEDS_LLM	unresolved
kitne	UNCERTAIN_NEEDS_LLM	unresolved
lekin	UNCERTAIN_NEEDS_LLM	unresolved
bahar	UNCERTAIN_NEEDS_LLM	unresolved
get	ENGLISH	wordnet_exact
know	ENGLISH	wordnet_exact
magar	UNCERTAIN_NEEDS_LLM	unresolved
nikal	UNCERTAIN_NEEDS_LLM	unresolved
sharma	UNCERTAIN_NEEDS_LLM	unresolved
wait	ENGLISH	wordnet_exact
walo	UNCERTAIN_NEEDS_LLM	unresolved
aajkal	UNCERTAIN_NEEDS_LLM	unresolved
aane	UNCERTAIN_NEEDS_LLM	unresolved
aisi	UNCERTAIN_NEEDS_LLM	unresolved
baap	UNCERTAIN_NEEDS_LLM	unresolved
bata	ENGLISH	wordnet_exact
friday	ENGLISH	wordnet_exact
hai!	NON_LINGUISTIC	regex_prefilter
itne	UNCERTAIN_NEEDS_LLM	unresolved
jio	UNCERTAIN_NEEDS_LLM	unresolved
maar	ENGLISH	wordnet_exact
sach	UNCERTAIN_NEEDS_LLM	unresolved
usse	UNCERTAIN_NEEDS_LLM	unresolved
your	UNCERTAIN_NEEDS_LLM	unresolved
aapko	UNCERTAIN_NEEDS_LLM	unresolved
after	ENGLISH	wordnet_exact
arre	UNCERTAIN_NEEDS_LLM	unresolved
dekha	UNCERTAIN_NEEDS_LLM	unresolved
ek_samosa_dena	NON_LINGUISTIC	regex_prefilter
going	ENGLISH	wordnet_exact
gurmeetramrahim	UNCERTAIN_NEEDS_LLM	unresolved
hathwalathakur	UNCERTAIN_NEEDS_LLM	unresolved
khush	UNCERTAIN_NEEDS_LLM	unresolved
r	ENGLISH	wordnet_exact
shuru	UNCERTAIN_NEEDS_LLM	unresolved
chale	UNCERTAIN_NEEDS_LLM	unresolved
night	ENGLISH	wordnet_exact
number	ENGLISH	wordnet_exact
rakha	UNCERTAIN_NEEDS_LLM	unresolved
aapki	UNCERTAIN_NEEDS_LLM	unresolved
awesome	ENGLISH	wordnet_exact
bina	UNCERTAIN_NEEDS_LLM	unresolved
cheez	UNCERTAIN_NEEDS_LLM	unresolved
daaru	UNCERTAIN_NEEDS_LLM	unresolved
friendlii_ghost	NON_LINGUISTIC	regex_prefilter
jaldi	UNCERTAIN_NEEDS_LLM	unresolved
kuchh	UNCERTAIN_NEEDS_LLM	unresolved
news	ENGLISH	wordnet_exact
reply	ENGLISH	wordnet_exact
.....	NON_LINGUISTIC	regex_prefilter
hogaya	UNCERTAIN_NEEDS_LLM	unresolved
its	ENGLISH	wordnet_exact
karke	UNCERTAIN_NEEDS_LLM	unresolved
kohli	UNCERTAIN_NEEDS_LLM	unresolved
more	ENGLISH	wordnet_exact
muh	UNCERTAIN_NEEDS_LLM	unresolved
only	ENGLISH	wordnet_exact
'	NON_LINGUISTIC	regex_prefilter
1st	NON_LINGUISTIC	regex_prefilter
aao	UNCERTAIN_NEEDS_LLM	unresolved
am	ENGLISH	wordnet_exact
bad	ENGLISH	wordnet_exact
bolo	ENGLISH	wordnet_exact
deta	UNCERTAIN_NEEDS_LLM	unresolved
gaali	UNCERTAIN_NEEDS_LLM	unresolved
galat	UNCERTAIN_NEEDS_LLM	unresolved
huh_watnow	NON_LINGUISTIC	regex_prefilter
isse	UNCERTAIN_NEEDS_LLM	unresolved
mummy	ENGLISH	wordnet_exact
tweeting_pal	NON_LINGUISTIC	regex_prefilter
ur	ENGLISH	wordnet_exact
uska	UNCERTAIN_NEEDS_LLM	unresolved
witchybitchygal	UNCERTAIN_NEEDS_LLM	unresolved
about	ENGLISH	wordnet_exact
cup	ENGLISH	wordnet_exact
haar	UNCERTAIN_NEEDS_LLM	unresolved
janta	UNCERTAIN_NEEDS_LLM	unresolved
jaye	UNCERTAIN_NEEDS_LLM	unresolved
khushi	UNCERTAIN_NEEDS_LLM	unresolved
kitna	UNCERTAIN_NEEDS_LLM	unresolved
mila	UNCERTAIN_NEEDS_LLM	unresolved
nahi,	NON_LINGUISTIC	regex_prefilter
soch	UNCERTAIN_NEEDS_LLM	unresolved
tha.	NON_LINGUISTIC	regex_prefilter
when	UNCERTAIN_NEEDS_LLM	unresolved
&amp	NON_LINGUISTIC	regex_prefilter
first	ENGLISH	wordnet_exact
insane_chorri	NON_LINGUISTIC	regex_prefilter
man	ENGLISH	wordnet_exact
miss	ENGLISH	wordnet_exact
sa	ENGLISH	wordnet_exact
saare	UNCERTAIN_NEEDS_LLM	unresolved
they	UNCERTAIN_NEEDS_LLM	unresolved
zindagi	UNCERTAIN_NEEDS_LLM	unresolved
:-)	NON_LINGUISTIC	regex_prefilter
bilkul	UNCERTAIN_NEEDS_LLM	unresolved
bolshoybooze	UNCERTAIN_NEEDS_LLM	unresolved
don't	NON_LINGUISTIC	regex_prefilter
fan	ENGLISH	wordnet_exact
hona	UNCERTAIN_NEEDS_LLM	unresolved
naa	UNCERTAIN_NEEDS_LLM	unresolved
sun	ENGLISH	wordnet_exact
tumhara	UNCERTAIN_NEEDS_LLM	unresolved
yaar,	NON_LINGUISTIC	regex_prefilter
:-d	NON_LINGUISTIC	regex_prefilter
dishasatra	UNCERTAIN_NEEDS_LLM	unresolved
film	ENGLISH	wordnet_exact
great	ENGLISH	wordnet_exact
jaate	UNCERTAIN_NEEDS_LLM	unresolved
jyada	UNCERTAIN_NEEDS_LLM	unresolved
kharab	UNCERTAIN_NEEDS_LLM	unresolved
mata	UNCERTAIN_NEEDS_LLM	unresolved
pasand	UNCERTAIN_NEEDS_LLM	unresolved
righttoprivacy	ENGLISH	wordnet_fuzzy_edit2
who	ENGLISH	wordnet_exact
aadmi	UNCERTAIN_NEEDS_LLM	unresolved
class	ENGLISH	wordnet_exact
dene	UNCERTAIN_NEEDS_LLM	unresolved
photo	ENGLISH	wordnet_exact
same	ENGLISH	wordnet_exact
tarah	UNCERTAIN_NEEDS_LLM	unresolved
uski	UNCERTAIN_NEEDS_LLM	unresolved
yearofrat	UNCERTAIN_NEEDS_LLM	unresolved
dekhne	UNCERTAIN_NEEDS_LLM	unresolved
english	ENGLISH	wordnet_exact
ho.	NON_LINGUISTIC	regex_prefilter
jaata	UNCERTAIN_NEEDS_LLM	unresolved
jagah	UNCERTAIN_NEEDS_LLM	unresolved
khana	UNCERTAIN_NEEDS_LLM	unresolved
lena	ENGLISH	wordnet_exact
make	ENGLISH	wordnet_exact
mile	ENGLISH	wordnet_exact
nitish	UNCERTAIN_NEEDS_LLM	unresolved
saturday	ENGLISH	wordnet_exact
singh	UNCERTAIN_NEEDS_LLM	unresolved
think	ENGLISH	wordnet_exact
v	ENGLISH	wordnet_exact
year	ENGLISH	wordnet_exact
!!!	NON_LINGUISTIC	regex_prefilter
aayega	UNCERTAIN_NEEDS_LLM	unresolved
baaki	UNCERTAIN_NEEDS_LLM	unresolved
bhaijaan	UNCERTAIN_NEEDS_LLM	unresolved
chalk	ENGLISH	wordnet_exact
dekhna	UNCERTAIN_NEEDS_LLM	unresolved
diwali	UNCERTAIN_NEEDS_LLM	unresolved
his	UNCERTAIN_NEEDS_LLM	unresolved
how	UNCERTAIN_NEEDS_LLM	unresolved
joke	ENGLISH	wordnet_exact
likha	UNCERTAIN_NEEDS_LLM	unresolved
naya	UNCERTAIN_NEEDS_LLM	unresolved
office	ENGLISH	wordnet_exact
rha	UNCERTAIN_NEEDS_LLM	unresolved
sabko	UNCERTAIN_NEEDS_LLM	unresolved
sabse	UNCERTAIN_NEEDS_LLM	unresolved
say	ENGLISH	wordnet_exact
tumhari	UNCERTAIN_NEEDS_LLM	unresolved
~	NON_LINGUISTIC	regex_prefilter
an	ENGLISH	wordnet_exact
iske	UNCERTAIN_NEEDS_LLM	unresolved
lagi	UNCERTAIN_NEEDS_LLM	unresolved
mumbai	ENGLISH	wordnet_exact
oh	ENGLISH	wordnet_exact
pass	ENGLISH	wordnet_exact
pls	UNCERTAIN_NEEDS_LLM	unresolved
samaj	UNCERTAIN_NEEDS_LLM	unresolved
suna	UNCERTAIN_NEEDS_LLM	unresolved
video	ENGLISH	wordnet_exact
alag	UNCERTAIN_NEEDS_LLM	unresolved
ap	UNCERTAIN_NEEDS_LLM	unresolved
bhaiya	UNCERTAIN_NEEDS_LLM	unresolved
diye	UNCERTAIN_NEEDS_LLM	unresolved
hai"	NON_LINGUISTIC	regex_prefilter
hey	UNCERTAIN_NEEDS_LLM	unresolved
hindi	ENGLISH	wordnet_exact
ho,	NON_LINGUISTIC	regex_prefilter
jaati	UNCERTAIN_NEEDS_LLM	unresolved
karti	UNCERTAIN_NEEDS_LLM	unresolved
khel	UNCERTAIN_NEEDS_LLM	unresolved
live	ENGLISH	wordnet_exact
pak	UNCERTAIN_NEEDS_LLM	unresolved
plz	UNCERTAIN_NEEDS_LLM	unresolved
virat	UNCERTAIN_NEEDS_LLM	unresolved
vo	UNCERTAIN_NEEDS_LLM	unresolved
waqt	UNCERTAIN_NEEDS_LLM	unresolved
well	ENGLISH	wordnet_exact
10	NON_LINGUISTIC	regex_prefilter
badi	UNCERTAIN_NEEDS_LLM	unresolved
baje	UNCERTAIN_NEEDS_LLM	unresolved
beer	ENGLISH	wordnet_exact
chala	UNCERTAIN_NEEDS_LLM	unresolved
come	ENGLISH	wordnet_exact
jaane	UNCERTAIN_NEEDS_LLM	unresolved
jati	ENGLISH	wordnet_exact
line	ENGLISH	wordnet_exact
maza	UNCERTAIN_NEEDS_LLM	unresolved
